10.06	118.6	499.2	3147.2
8.06	2440.6	-2280.1	-2926.3
682.95	-2495.8	2532.9	-924.5
11.11	900.1	3903.8	-3089.0
1331.68	2676.9	6443.4	1526.4
1607.36	-1885.1	-961.3	-660.5
1884.71	2527.0	-5008.5	-1465.5
12.73	-886.4	-723.5	-674.7
15.03	1428.6	-688.5	-1910.2
1540.87	976.8	-7770.1	2112.6
1495.24	763.9	-677.6	233.4
263.67	2384.3	3996.2	496.5
537.44	902.2	2950.5	1857.6
7.46	248.1	292.4	37.9
406.44	-1766.9	-1870.3	241.1
15.42	-1667.8	1245.8	-1820.4
1122.26	-8132.2	3139.3	-2285.6
437.64	-3571.6	-4216.1	420.1
8.57	433.5	-3570.0	4091.8
10.43	-154.7	1224.0	-452.8
1602.07	142.0	-3403.3	-242.4
1788.39	5281.3	-1618.7	-7261.6
594.69	-2075.8	-3650.4	-3543.3
1516.41	-3302.0	-299.4	-304.6
216.19	2380.6	3690.2	1437.2
1354.91	-3367.8	-2245.5	3112.1
1223.09	5236.3	3211.6	-6649.2
9.82	1156.7	-262.9	-1395.1
13.21	83.1	-3786.2	-847.0
13.97	-5808.0	2441.3	5068.7
8.62	-3410.6	-1155.6	3008.4
538.13	797.1	772.8	-427.2
1941.53	1683.3	339.1	201.3
11.22	-1474.0	-2201.9	-2765.6
877.78	2905.9	1682.4	-3079.6
12.01	4755.5	818.3	-3405.0
12.05	-3367.3	-2864.7	5311.2
9.20	4735.9	6110.1	6072.9
1175.24	923.0	-920.5	-873.7
4.93	6927.7	905.6	-4051.6
1154.84	3166.0	-3072.3	1245.6
7.23	-3632.3	-5663.6	2102.0
690.30	7918.0	935.5	-6727.1
341.39	8063.2	6369.6	1115.3
947.37	4400.7	-1680.8	133.3
810.98	4457.3	-4669.0	-1325.6
12.76	6214.3	-4010.3	-5602.4
8.27	-3652.7	4474.6	3346.2
760.17	-2043.5	3983.3	2145.6
11.20	5592.4	6272.2	3407.0
6.33	4009.4	3504.2	-3244.8
11.97	1327.6	-6591.1	6736.4
1180.14	1287.1	378.1	317.6
383.20	5434.3	2797.1	4069.0
127.34	129.9	-169.9	-1298.0
1934.91	-2407.6	-1524.4	-2152.1
11.76	3564.4	509.9	-600.0
15.63	3084.7	-173.5	787.8
1203.02	2489.3	1031.1	-1204.3
14.41	6177.4	-1552.6	-6205.9
3.48	3595.7	-2509.9	3697.4
14.74	2064.2	81.9	40.1
28.47	4790.2	-6902.8	-4369.7
9.98	1300.2	7809.7	-3104.8
8.79	916.5	-9161.9	1530.2
8.56	1026.3	3935.5	3734.7
13.34	1634.0	242.0	-352.6
7.68	1527.2	861.3	1073.3
11.57	5371.9	-3836.6	317.0
1895.22	-7262.4	-2380.1	66.2
10.64	-2119.8	2398.3	2130.1
343.96	2096.2	1072.7	-404.5
8.32	2139.6	209.2	1715.8
10.16	2385.5	1185.0	977.3
1722.84	1926.6	1595.3	6151.5
865.11	-1871.9	3390.9	3007.6
12.53	1550.3	3486.6	-838.9
567.99	3918.5	383.8	-1550.2
538.11	4290.2	-4226.1	5177.6
1146.89	8525.5	4626.8	-3479.3
7.88	611.6	3003.9	3126.7
741.51	5140.6	-2298.1	-506.4
8.75	1848.4	-2486.6	1998.7
1190.75	-1175.0	1423.2	2372.3
1511.44	3961.1	997.3	1196.6
1567.31	254.1	1641.6	963.2
5.06	8253.6	-1676.6	-3829.6
6.05	-1565.8	5009.8	3582.1
71.50	7184.4	-2359.0	-2636.7
1087.27	2999.9	91.0	-473.5
1970.35	3489.1	70.5	-5734.1
8.77	4742.3	-2222.1	2563.1
11.08	117.3	-3601.2	4533.6
8.69	-272.7	2319.6	2398.7
11.12	6921.2	7380.7	-2971.3
13.90	4807.8	-12.4	7380.4
4.81	3720.5	1047.5	-2477.1
375.75	7305.9	2451.4	-4247.1
1097.78	-1007.0	-4219.2	-5151.3
5.35	1880.3	956.3	787.4
614.04	2893.5	-5291.4	4709.3
10.66	722.0	4176.3	2048.1
1510.77	6300.1	3255.8	-258.4
